Spacecraft,Vehicle,Launch,Return,Mission Number,Status,Earth Orbit,Lunar Orbit,Station Visited,Destination
Vostok 1,Vostok-K,21-04-1961 06:07,21-04-1961 07:55,1,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Redstone 3,Mercury-Redstone Launch Vehicle,05-05-1961 14:34,05-05-1961 14:49,2,Returned,FALSE,FALSE,,Non-orbital space
Mercury-Redstone 4,Mercury-Redstone Launch Vehicle,21-07-1961 12:20,21-07-1961 12:36,3,Returned,FALSE,FALSE,,Non-orbital space
Vostok 2,Vostok-K,06-08-1961 06:00,07-08-1961 07:18,4,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 6,Atlas LV-3B,20-02-1962 14:47,20-02-1962 19:43,5,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 7,Atlas LV-3B,24-05-1962 12:45,24-05-1962 17:41,6,Returned,TRUE,FALSE,,Earth Orbit
Vostok 3,Vostok-K,11-08-1962 08:24,15-08-1962 06:52,7,Returned,TRUE,FALSE,,Earth Orbit
Vostok 4,Vostok-K,12-08-1962 08:02,15-08-1962 06:59,8,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 8,Atlas LV-3B,03-10-1962 12:15,03-10-1962 21:28,9,Returned,TRUE,FALSE,,Earth Orbit
Mercury-Atlas 9,Atlas LV-3B,15-05-1963 13:04,16-05-1963 23:24,10,Returned,TRUE,FALSE,,Earth Orbit
Vostok 5,Vostok-K,14-06-1963 11:58,19-06-1963 11:06,11,Returned,TRUE,FALSE,,Earth Orbit
Vostok 6,Vostok-K,16-06-1963 09:29,19-06-1963 08:20,12,Returned,TRUE,FALSE,,Earth Orbit
"X-15, Flight 90",X-15,19-07-1963 18:20,19-07-1963 18:31,13,Returned,FALSE,FALSE,,Non-orbital space
"X-15, Flight 91",X-15,22-08-1963 18:05,22-08-1963 18:17,14,Returned,FALSE,FALSE,,Non-orbital space
Voskhod 1,Voskhod,12-10-1964 07:30,13-10-1964 07:47,15,Returned,TRUE,FALSE,,Earth Orbit
Voskhod 2,Voskhod,18-03-1965 07:00,19-03-1965 09:02,16,Returned,TRUE,FALSE,,Earth Orbit
Gemini 3,Titan II GLV,23-03-1965 14:24,23-03-1965 19:17,17,Returned,TRUE,FALSE,,Earth Orbit
Gemini 4,Titan II GLV,03-06-1965 15:16,07-06-1965 17:12,18,Returned,TRUE,FALSE,,Earth Orbit
Gemini 5,Titan II GLV,21-08-1965 14:00,29-08-1965 12:55,19,Returned,TRUE,FALSE,,Earth Orbit
Gemini 7,Titan II GLV,04-12-1965 19:30,18-12-1965 14:05,20,Returned,TRUE,FALSE,,Earth Orbit
Gemini 6,Titan II GLV,15-12-1965 13:37,16-12-1965 15:28,21,Returned,TRUE,FALSE,,Earth Orbit
Gemini 8,Titan II GLV,16-03-1966 16:41,17-03-1966 03:22,22,Returned,TRUE,FALSE,,Earth Orbit
Gemini 9,Titan II GLV,03-06-1966 13:39,06-06-1966 14:00,23,Returned,TRUE,FALSE,,Earth Orbit
Gemini 10,Titan II GLV,18-07-1966 22:20,21-07-1966 21:07,24,Returned,TRUE,FALSE,,Earth Orbit
Gemini 11,Titan II GLV,12-09-1966 14:42,15-09-1966 13:59,25,Returned,TRUE,FALSE,,Earth Orbit
Gemini 12,Titan II GLV,11-11-1966 20:46,15-11-1966 19:21,26,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 1,Soyuz,23-04-1967 00:35,24-04-1967 03:22,27,Fail-to-land,TRUE,FALSE,,Earth Orbit
Apollo 7,Saturn IB,11-10-1968 15:02,22-10-1968 11:11,28,Returned,TRUE,FALSE,,Earth Orbit
Soyuz 3,Soyuz-U,26-10-1968 08:34,30-10-1968 07:25,29,Returned,TRUE,FALSE,,Earth Orbit
Apollo 8,Saturn V,21-12-1968 12:51,27-12-1968 15:52,30,Returned,TRUE,TRUE,,Moon
